gene	module
LSG1	turquoise
TNC	greenyellow
TDP1	blue
AIFM2	turquoise
SPATA7	turquoise
RETSAT	orange
TG	floralwhite
ADAM28	cyan
JADE2	steelblue
LCP2	blue
CNTLN	grey60
HSPA5	blue
WDR37	green
POLR2B	black
FAM214A	paleturquoise
CP	turquoise
ANO2	purple
USP28	turquoise
CC2D2A	turquoise
ERCC8	turquoise
ADAMTS6	black
TNFRSF9	grey60
ELN	yellow
CLPTM1L	black
NEDD4L	red
JKAMP	blue
ARHGEF5	turquoise
MCUR1	greenyellow
LETMD1	tan
PTGER3	brown
TNIP3	blue
MAPK9	blue
FAM160A2	turquoise
HERPUD1	blue
MPHOSPH9	brown
SIKE1	turquoise
MSMO1	white
MCF2L2	turquoise
LAMA3	pink
AP5M1	darkgrey
ANAPC4	turquoise
TRAPPC3	blue
OPN3	blue
RELT	blue
GALC	midnightblue
CYFIP2	green
TAB2	blue
USP36	blue
HPF1	tan
ZNF280C	lightsteelblue1
TRAF1	blue
TRAF3IP2	blue
GYG2	turquoise
SERPINB3	sienna3
PKP2	turquoise
PRDM1	blue
PITHD1	darkmagenta
ATP11B	blue
LAMC2	turquoise
SEC61A1	turquoise
POLR3E	sienna3
FLYWCH1	darkred
UNKL	white
TBXAS1	blue
PARP12	darkgreen
ALDH18A1	lightyellow
MXD1	blue
CDK17	brown
SLC2A3	blue
CTDP1	turquoise
OGFR	brown
PTPRU	red
ACAA1	blue
HDAC7	violet
TNK2	orange
GPBP1	grey
HAGH	turquoise
RNF4	brown
CASP8	turquoise
INTS13	yellow
SPA17	turquoise
TAF2	blue
RFXANK	turquoise
SBNO2	steelblue
PMS1	blue
CALCRL	purple
TRAM2	yellow
DGKA	steelblue
ERBB3	turquoise
ANKRD44	green
MYLK	yellow
ZC3H15	orangered4
CYB5R4	blue
GSTO2	turquoise
SEC61A2	saddlebrown
FAM107B	blue
PDE4A	blue
PPP2R5A	grey
KDM4A	turquoise
NFYC	blue
NGEF	turquoise
CD84	blue
SPI1	blue
CLDN18	red
LRRC40	blue
EML1	turquoise
TRMT11	turquoise
THUMPD1	turquoise
ZFAT	turquoise
PFKP	brown
PLPP1	purple
TNFRSF1A	purple
CACNB1	pink
METTL22	brown
RRP15	brown
DHX8	paleturquoise
PRKCZ	red
IARS2	tan
NAV3	mediumpurple3
HEATR6	brown
COASY	blue
OTUD5	blue
TFE3	blue
INPP5A	blue
GRIPAP1	salmon
IP6K2	turquoise
KIF2A	lightgreen
SIRT2	blue
SDK2	tan
DNAJA2	brown
KCNAB2	royalblue
CLEC2D	darkorange
FUNDC1	white
RORA	green
TGFBR3	yellow
ATP1B3	blue
PIGB	brown
GNB5	steelblue
HDHD5	saddlebrown
UFD1	blue
PHRF1	blue
IKBKAP	turquoise
DAPP1	turquoise
SLC44A1	midnightblue
TMEM260	turquoise
SMG6	turquoise
CLTCL1	turquoise
JMJD6	blue
ST6GALNAC1	turquoise
ASNS	yellow
AP3M2	paleturquoise
PTPN21	turquoise
OSBPL3	turquoise
RAD18	turquoise
ATP2B1	blue
NCK2	turquoise
MAP4K4	blue
MGAT4A	green
ARHGAP10	blue
ING3	yellowgreen
VASH1	blue
LMCD1	yellow
DAZAP1	darkred
HLTF	turquoise
CYBRD1	yellow
ADGRL1	grey
PTPN18	blue
LNX1	turquoise
TFRC	blue
SREBF1	darkgrey
UBE2D1	blue
RHOBTB1	turquoise
SMC1A	lightgreen
HSD17B10	skyblue
MARK2	brown
TRHDE	brown
P4HA2	pink
STK10	blue
AP1M1	magenta
PVR	grey60
TP63	floralwhite
CLCN4	grey
CD5L	brown
PTGS2	blue
NOTCH3	blue
NCBP3	blue
ATP2A3	black
CA12	turquoise
NUAK1	yellow
SLC24A1	blue
LMAN1	turquoise
HACD3	grey
IPCEF1	green
TXK	salmon
ACTR6	turquoise
ZNF638	turquoise
TIMM21	turquoise
VPS9D1	brown
FRYL	purple
MOCOS	turquoise
BCAP29	blue
SART3	grey60
ARHGAP15	blue
EXOSC7	orange
REXO2	turquoise
MLH1	blue
FMO4	cyan
ANKRD13A	turquoise
ACACB	skyblue
PAG1	brown
GPATCH1	blue
ICAM3	green
MBNL3	darkturquoise
ARHGEF1	white
MAP2K7	violet
CTTNBP2	midnightblue
TM9SF3	turquoise
NFKB2	tan
DNAJC10	turquoise
IL4R	blue
FAM76B	turquoise
JADE1	grey60
UBE2A	blue
SMC1B	turquoise
FBLN1	yellow
AMPH	blue
ARAF	midnightblue
ACER3	brown
TIGAR	ivory
SYNJ2	blue
EDN1	grey
PCM1	turquoise
TNRC6C	white
CBFA2T2	brown
UBE2D4	blue
RUNX1T1	turquoise
SP140	green
TNS1	yellow
CDC14A	green
SENP1	turquoise
LIPE	grey
PGM1	brown
RABL2B	turquoise
SLC35C2	royalblue
SCTR	turquoise
RFX3	turquoise
SMARCA2	green
CNOT4	sienna3
CPOX	darkgreen
CLDND1	green
CROCCP3	turquoise
AP4E1	turquoise
COL4A4	grey
OSTM1	turquoise
ARG2	blue
MEF2C	blue
PTPRC	blue
UBA5	darkgrey
AACS	turquoise
HSPB11	turquoise
IL12RB2	turquoise
SMARCD3	turquoise
FYB	blue
ME2	blue
C5orf22	turquoise
TRAF5	steelblue
GEMIN5	purple
ITGB5	tan
RNF13	blue
PALB2	blue
LYRM2	lightgreen
KAT6A	turquoise
ULK2	turquoise
NUFIP1	brown
OXCT1	lightyellow
RRAGB	yellow
CYLD	green
SLC27A5	skyblue
ZNF586	brown
ZNF264	brown
FAT1	turquoise
SMAP2	green
PPIE	blue
SSH1	paleturquoise
MAPRE3	turquoise
ATRX	black
MYNN	blue
SCAMP1	grey
HACE1	blue
WDR47	blue
ABCB1	lightgreen
AKR1B1	brown
CPNE3	lightsteelblue1
DDHD2	grey
TTC39A	grey
ATG16L1	blue
POMGNT1	orange
DIMT1	skyblue
IPO11	turquoise
EIF2AK1	brown
SEPHS1	skyblue
ITPKC	red
CEACAM6	pink
RBM22	blue
LAT2	lightgreen
ZW10	violet
MTMR2	brown
PPP1R15A	blue
SRRT	violet
UIMC1	blue
GNAO1	blue
SH3BP2	blue
L2HGDH	turquoise
KLHL42	turquoise
DNM1L	blue
CASS4	lightcyan
PIR	turquoise
RFX2	turquoise
SULT2B1	turquoise
ALG6	darkgrey
DDX18	grey
GNA11	turquoise
ASAP3	tan
EDEM2	brown
EPB41L1	turquoise
DOCK9	red
COQ9	turquoise
NSFL1C	turquoise
KIZ	turquoise
MAPKAPK5	sienna3
SLC23A2	blue
DZANK1	turquoise
PXN	turquoise
SIRT4	magenta
TRMT6	turquoise
FXYD5	steelblue
CDIP1	brown
GMIP	blue
RBM41	turquoise
MLF2	blue
DDX24	green
ZBTB25	blue
ARHGAP4	sienna3
RGS1	blue
STRN4	steelblue
IRAK3	blue
LYZ	blue
MUL1	grey60
PDCD7	blue
DNAJB11	turquoise
RAB11FIP3	darkorange
GNPTG	blue
MCOLN1	midnightblue
PLEKHG2	blue
OSBPL8	blue
NLRC4	brown
SLC26A4	blue
IL5RA	lightcyan
ITGA6	pink
FH	brown
NLRP1	green
SPAG7	blue
ZC3HC1	turquoise
ANGPT2	brown
TMEM101	cyan
CCDC80	yellow
PPP2R3C	grey
SCFD1	grey
RPGRIP1	turquoise
TOX4	blue
GEMIN2	darkmagenta
SEMA6A	purple
AGO1	midnightblue
CLSPN	black
UNC13D	orangered4
MFSD11	grey
TGFB2	red
NUP50	turquoise
VNN3	turquoise
UPRT	brown
FMO2	pink
SUCO	blue
DHPS	brown
EPB41L4B	turquoise
TMEM38B	blue
PSMD5	blue
NUP188	turquoise
WHRN	violet
CWF19L1	blue
IKZF5	green
SORBS1	purple
CREM	blue
BRPF3	grey
PGC	red
ITPR3	red
SIRT1	lightcyan
IL12RB1	cyan
ACOT7	blue
PCSK5	grey
ERMP1	turquoise
NRP1	blue
PALMD	turquoise
MAST3	lightgreen
MZF1	turquoise
SETD1A	ivory
BCL7C	turquoise
PRKY	green
POLR2E	turquoise
MKNK2	red
RANBP1	blue
KLHL22	blue
SNAP29	blue
SMARCB1	royalblue
OSM	blue
CABIN1	turquoise
SUSD2	pink
GGT5	greenyellow
PPIL2	turquoise
PES1	orangered4
CYTH4	blue
HIRA	magenta
LGALS1	blue
PIK3IP1	brown
TFIP11	turquoise
EIF3L	skyblue3
MICALL1	greenyellow
PICK1	lightsteelblue1
TPTEP1	turquoise
HSCB	turquoise
TOMM22	yellow
RTCB	darkgreen
FBXO7	blue
GTPBP1	darkorange
POLDIP3	royalblue
TIMP3	purple
SUN2	black
HMGXB4	turquoise
HMOX1	blue
THOC5	brown
ASCC2	blue
MIEF1	darkgreen
SAMM50	blue
TXN2	grey
GRAP2	black
TNRC6B	turquoise
KIAA0930	blue
NCF4	blue
FAM118A	darkgrey
L3MBTL2	pink
RANGAP1	lightyellow
ZC3H7B	red
POLR3H	darkgrey
CERK	blue
KHNYN	blue
FKBP3	greenyellow
GZMB	salmon
NIN	blue
PYGL	brown
TIMM9	brown
TMED8	brown
RIN3	blue
LGMN	blue
ALKBH1	turquoise
DHRS7	blue
PPM1A	black
EIF5	green
DICER1	blue
PCNX1	green
VRK1	turquoise
PSMC1	turquoise
ARHGAP5	pink
BRMS1L	sienna3
SEC23A	lightyellow
GMPR2	brown
PLTP	blue
IFT52	yellowgreen
NDRG3	brown
SLA2	turquoise
C20orf24	blue
NFATC2	darkorange
STK4	green
ADNP	turquoise
PFDN4	blue
CSTF1	turquoise
RAE1	tan
TPD52L2	blue
CTSZ	blue
MTG2	blue
DIDO1	turquoise
ARFGAP1	turquoise
CDC25B	turquoise
NDUFAF5	turquoise
RASSF2	blue
CDS2	turquoise
HM13	grey
PLCB4	turquoise
TM9SF4	orangered4
CRNKL1	turquoise
PAK5	black
KIF3B	turquoise
MROH8	turquoise
IDH3B	blue
CDK5RAP1	saddlebrown
TTI1	midnightblue
CHMP4B	blue
PPP1R16B	green
DHX35	lightcyan
DNTTIP1	grey
APMAP	salmon
ADNP2	lightgreen
METTL4	blue
SMCHD1	green
SMAD7	steelblue
NOL4	darkred
POLI	turquoise
RBBP8	midnightblue
RIOK3	turquoise
PSMD10	grey
ATG4A	grey
TBL1X	turquoise
NKAP	turquoise
AMMECR1	brown
CHRDL1	yellow
ATP11C	blue
MTMR8	grey
FMR1	blue
SLC35A2	turquoise
PQBP1	blue
SMS	blue
JADE3	brown
HTATSF1	blue
TIMP1	blue
MAGED2	turquoise
RBM3	blue
PBDC1	salmon
GLA	blue
BEX4	blue
TNFSF13B	lightcyan
CDADC1	brown
CAB39L	lightcyan
ARHGEF7	blue
SUPT20H	turquoise
FLT1	blue
RGCC	blue
INTS6	tan
MGRN1	turquoise
ZNF629	blue
CORO1A	blue
LYRM1	turquoise
NUTF2	turquoise
ZNF821	orangered4
USB1	blue
CCDC113	turquoise
NME3	saddlebrown
SLC38A7	orange
VAC14	brown
TANGO6	skyblue3
PLA2G15	grey
MON1B	pink
CMC2	brown
SEC14L5	magenta
CRISPLD2	yellow
LMF1	turquoise
CLCN7	blue
SLC7A5	blue
EEF2K	turquoise
PIEZO1	cyan
GSPT1	red
CLUAP1	turquoise
EARS2	turquoise
GGA2	brown
USP31	floralwhite
DNAJA3	darkred
TOX3	turquoise
XYLT1	blue
RPGRIP1L	turquoise
STX4	blue
BCKDK	blue
NOMO1	sienna3
CCP110	turquoise
RNF40	grey
KNOP1	brown
AQP9	blue
AAGAB	turquoise
HERC1	green
TRIP4	greenyellow
MTFMT	darkgrey
RAB11A	grey
CEMIP	yellow
RPAP1	brown
EHD4	turquoise
CEP152	grey60
ATP8B4	blue
OCA2	turquoise
VPS18	blue
SLC30A4	greenyellow
MYEF2	turquoise
SGK3	brown
ZDHHC2	green
ZFAND1	salmon
RP1	turquoise
EYA1	turquoise
DECR1	blue
JPH1	darkred
EMC2	blue
NDRG1	blue
IL7	turquoise
ARMC1	grey
NCALD	turquoise
MTMR9	blue
LEPROTL1	green
DCTN6	brown
GSR	lightyellow
TNFRSF10A	turquoise
KLHDC4	turquoise
MCM4	blue
KCTD9	brown
GYS1	yellow
HNRNPL	darkmagenta
NFKBIB	grey
CLPTM1	turquoise
CLASRP	brown
PIH1D1	turquoise
CD37	blue
TRMT1	blue
STX10	grey60
RETN	brown
TBC1D17	brown
CCDC130	turquoise
LILRB1	blue
MED25	turquoise
TIMM44	brown
IL27RA	darkturquoise
VRK3	blue
FAM32A	blue
PPP6R1	turquoise
AKAP8	royalblue
PDCD5	darkturquoise
TIMM50	brown
GPI	brown
CCDC94	purple
SLC1A5	brown
HNRNPUL1	brown
TGFB1	green
NKG7	lightgreen
CYTH2	darkmagenta
ZNF175	grey
PLA2G4C	blue
FAM83E	turquoise
RASIP1	ivory
BCAT2	greenyellow
PLEKHA4	tan
TNPO2	violet
PRPF31	skyblue
JAK3	green
ARRDC2	blue
CRTC1	turquoise
TMEM147	brown
KXD1	blue
SUGP1	yellowgreen
ZNF14	black
PBX4	green
ETHE1	turquoise
CFAP69	turquoise
GTPBP10	lightcyan1
CDK6	darkorange
PMPCB	brown
DNAJC2	blue
NAMPT	blue
TWISTNB	blue
PIK3CG	sienna3
ITGB8	turquoise
HBP1	grey
SP4	ivory
WDR91	turquoise
DNAH11	turquoise
CBLL1	brown
ZC3HAV1	green
OGDH	white
H2AFV	grey
CAV1	pink
DNAJB6	blue
IQCE	turquoise
VIPR2	darkgreen
TSPAN12	grey
CPED1	lightcyan
CHN2	blue
GRB10	purple
FKBP14	turquoise
NOD1	turquoise
BUD31	turquoise
CYP3A5	tan
AIMP2	brown
USP42	turquoise
AGFG2	turquoise
SERPINE1	purple
RPA3	brown
SFRP4	yellow
ANKMY2	turquoise
TSPAN13	cyan
TMEM176B	blue
STAG3L4	darkmagenta
CLIP2	blue
SLC1A1	pink
FSD1L	turquoise
CNTNAP3	turquoise
NMRK1	brown
TMEM245	red
MEGF9	red
TRIM14	steelblue
CORO2A	floralwhite
TGFBR1	brown
TLE4	paleturquoise
AKNA	salmon
TNFSF8	blue
DNM1	turquoise
CDC37L1	turquoise
PLGRKT	turquoise
CREB3	turquoise
RGP1	black
RAPGEF1	blue
UBE2R2	blue
ABHD17B	darkolivegreen
PDLIM1	turquoise
HPS1	blue
RASSF4	blue
ERLIN1	brown
DDX50	turquoise
NSMCE4A	purple
PLEKHA1	red
CDH23	blue
VSIR	white
SPOCK2	lightyellow
CCSER2	blue
FBXW4	lightcyan1
ARHGAP21	turquoise
MTPAP	turquoise
STN1	grey
XPNPEP1	blue
PPIF	blue
TSPAN14	blue
UBTF	turquoise
RNF43	turquoise
RAD51C	orange
MTMR4	red
P2RX1	blue
DHX40	blue
TUBD1	brown
CDK5RAP3	blue
CAMTA2	yellowgreen
RASD1	grey
SLC6A4	purple
BLMH	blue
SMARCD2	blue
SYNGR2	brown
B9D1	turquoise
CCL2	purple
VAT1	brown
HDAC5	royalblue
LUC7L3	paleturquoise
SMURF2	turquoise
HLF	grey
MAP2K6	violet
SLC9A3R1	blue
MYH3	brown
TMEM104	blue
TNFAIP1	turquoise
PMP22	yellow
RAB34	brown
PHF12	blue
USP46	blue
NFKB1	blue
AREG	blue
MANBA	blue
MAPK10	turquoise
ELF2	blue
TBC1D9	brown
INPP4B	green
CLCN3	blue
SEPSECS	blue
TRIM2	turquoise
FBXW7	blue
TBC1D19	turquoise
CLNK	darkred
STIM2	turquoise
UFSP2	yellowgreen
KLHL5	blue
UGDH	turquoise
HTATIP2	brown
ZBTB16	red
ELP4	grey60
ZPR1	midnightblue
C11orf63	turquoise
SIAE	grey
DTX4	turquoise
EHD1	blue
MS4A6A	blue
MS4A4A	blue
CCND1	pink
CHORDC1	grey60
FOLR3	brown
ARHGEF17	lightsteelblue1
CEP164	brown
CEP126	turquoise
IL10RA	blue
GALNT18	turquoise
NECTIN1	turquoise
COMMD9	brown
SLC15A3	blue
MADD	magenta
AIP	brown
VWF	purple
PPFIBP1	purple
CD69	green
PRDM4	blue
COQ5	yellow
SELPLG	brown
CAPRIN2	grey
KCTD10	turquoise
CAMKK2	black
BIN2	lightgreen
ELK3	blue
MAGOHB	turquoise
PARP11	brown
VPS29	brown
CREBL2	blue
ACAD10	ivory
CDKN1B	grey60
NAA25	lightcyan
MGP	yellow
ARHGDIB	blue
GTF2H3	brown
EIF2B1	cyan
VDR	blue
ADGRD1	red
TBC1D30	lightcyan1
MDM1	turquoise
NUP107	brown
KRR1	brown
NOP2	magenta
CHD4	blue
UHRF1BP1L	blue
COPS7A	blue
GNPTAB	blue
SUDS3	turquoise
GOLT1B	purple
PRKAB1	grey
CMAS	darkorange
CLEC4A	blue
C2CD5	lightcyan
RAB35	salmon
COL12A1	pink
TDP2	cyan
FRK	grey
RWDD1	yellowgreen
MAK	turquoise
PAK1IP1	blue
CEP85L	steelblue
MAN1A1	blue
HDDC2	orangered4
HINT3	pink
RIPOR2	grey
PPARD	blue
KCTD20	blue
ICK	turquoise
CD83	blue
BACH2	green
E2F3	blue
MED23	brown
GPLD1	red
CRYBG1	green
ACOT13	brown
GMNN	lightyellow
SOBP	yellow
HBS1L	turquoise
PEX7	red
ZBTB24	turquoise
FIG4	black
SLC16A10	blue
HECA	green
PHF1	turquoise
PACRG	turquoise
TBP	brown
SRF	blue
DNPH1	turquoise
GMDS	turquoise
BTN2A1	turquoise
LAMA4	yellow
FAM46A	midnightblue
CLIC5	pink
FBRSL1	black
LY86	brown
C7	yellow
PAPD7	darkorange
GHR	darkolivegreen
NNT	plum1
HBEGF	blue
SPARC	yellow
PDE8B	turquoise
CLK4	green
ITK	green
RNF130	blue
ARSB	blue
MSH3	royalblue
RASGRF2	lightgreen
DROSHA	grey
LMNB1	magenta
PDE4D	red
BRIX1	black
PRLR	darkorange
SLC12A7	brown
GNPDA1	blue
NUP155	turquoise
NR3C1	brown
PPWD1	skyblue
LIFR	turquoise
TRIM23	turquoise
TRAPPC13	red
TXNDC15	blue
TTC33	white
TCERG1	skyblue
DPYSL3	yellow
TIMMDC1	turquoise
CRBN	blue
CD86	blue
FAM162A	blue
KAT2B	turquoise
SERPINI2	turquoise
WNT5A	black
PFKFB4	blue
PRKAR2A	turquoise
ACAP2	blue
ECT2	turquoise
CBLB	green
GNB4	blue
HHLA2	turquoise
UMPS	salmon
KLHL18	royalblue
PLSCR4	yellow
WDR48	blue
COMMD2	lightcyan1
AADAC	red
VIPR1	purple
NEK4	turquoise
TTL	blue
CCL20	blue
ACTR1B	darkgrey
TP53I3	grey
DNAJC27	saddlebrown
CENPA	turquoise
CYTIP	blue
MPV17	darkorange
GTF3C2	yellow
NRBP1	brown
ITGA4	green
PDE1A	lightsteelblue1
IFIH1	blue
GCA	blue
AUP1	tan
POLE4	grey
EVA1A	red
LANCL1	lightcyan1
WDR75	brown
FN1	brown
STAT1	black
PAPOLG	skyblue
DNAH6	turquoise
IGFBP5	yellow
TXNDC9	turquoise
GNLY	lightgreen
MOB4	salmon
KDM3A	blue
CHMP3	magenta
ZNF142	darkgreen
IL1R2	blue
IL18R1	midnightblue
IL18RAP	magenta
ID2	blue
HPCAL1	pink
SLC25A12	darkgreen
SDC1	pink
PLCL1	brown
SOS1	darkorange
KYNU	blue
WIPF1	blue
PNO1	blue
ORC4	turquoise
PLEK	blue
C2orf42	cyan
EPAS1	red
ARID3A	brown
SUMO1	turquoise
MSH6	lightcyan
FARSB	blue
ALMS1	turquoise
BCL9	salmon
MARK1	brown
CACYBP	darkolivegreen
RALGPS2	turquoise
CEP104	turquoise
FAM20B	brown
TCEANC2	turquoise
TMEM59	grey60
AMPD2	blue
S100PBP	grey
SCAMP3	plum1
TRIM62	yellow
RHOU	lightcyan
MEF2D	pink
SWT1	turquoise
DNAJC6	lightcyan
LEPR	brown
IVNS1ABP	blue
KIAA2013	grey
SLC35D1	grey60
PLA2G4A	yellow
GADD45A	blue
RGS2	blue
UCHL5	magenta
CTH	grey
OLFML3	yellow
PLEKHM2	orangered4
PHTF1	turquoise
ZBTB17	turquoise
CD2	green
TTF2	blue
TMEM9	pink
MAP7D1	orange
KMO	blue
AKT3	green
ETV3	blue
ST6GALNAC5	pink
SLAMF1	black
SDHB	blue
RPF1	blue
UAP1	blue
CTBS	skyblue
IGSF21	orange
ZNHIT6	black
RBBP5	turquoise
GBP3	saddlebrown
GBP1	blue
GPR89A	blue
RAB29	magenta
ECE1	sienna3
GALE	darkgrey
CD46	greenyellow
APH1A	turquoise
ERI3	darkgrey
TSPAN1	turquoise
BLZF1	blue
TMED5	blue
MROH9	turquoise
DPH5	grey
HSD11B1	lightcyan
IRF6	grey
DIEXF	blue
RCAN3	turquoise
MTFR1L	blue
DHDDS	darkgreen
NENF	blue
NSL1	turquoise
ARID1A	saddlebrown
CENPF	yellowgreen
RPA2	blue
MARC2	turquoise
DDX59	turquoise
ATF6	red
FASTKD2	turquoise
NRP2	orange
CREB1	salmon
KLF7	blue
CASP8AP2	blue
UBE3D	turquoise
ANKRD13C	turquoise
SGIP1	blue
TNFAIP3	blue
RAB32	darkgreen
MYB	turquoise
RNF146	turquoise
CTGF	turquoise
SLC16A7	turquoise
VAMP8	brown
ARMC2	turquoise
PKD2	lightcyan
KLF12	turquoise
PCDH17	purple
WDR35	turquoise
CCND2	green
DNAH7	turquoise
KLF9	grey
ITGB1BP1	lightyellow
HEATR1	grey
CTNNAL1	turquoise
SLC46A2	blue
NR4A3	blue
GALNT12	royalblue
ALG2	brown
KDSR	brown
C19orf25	magenta
YLPM1	mediumpurple3
IFI27L2	brown
IFT43	turquoise
AREL1	blue
FLVCR2	brown
DLST	yellow
PPP4R4	red
FAM98A	greenyellow
YIPF4	white
AFTPH	blue
BCL11A	black
SLF2	brown
IFIT3	lightyellow
IFIT2	brown
AVPI1	blue
CFAP58	turquoise
TEK	purple
RCL1	turquoise
CAAP1	turquoise
MOB3B	blue
CD274	blue
CCDC170	turquoise
PLEKHG1	purple
CENPL	grey
SNX19	cyan
MSANTD2	sienna3
NUDCD1	blue
KIAA1217	turquoise
PLXDC2	blue
CCDC77	darkmagenta
DNAJC15	darkturquoise
PROSER1	turquoise
WBP4	brown
HSPH1	blue
ALG5	skyblue
EXOSC8	midnightblue
TGFBI	blue
FAM53C	turquoise
PAIP2	blue
KDM3B	turquoise
ZFP30	grey60
NR2C1	turquoise
ARL1	turquoise
DUSP4	blue
CLU	yellow
PTK2B	blue
PPP3CC	turquoise
ZNF706	lightcyan
RDH10	blue
COIL	darkolivegreen
TRIM25	blue
SLC35B1	darkgreen
TEX14	blue
FAM117A	white
LRAT	turquoise
PDZRN3	tan
RNF2	brown
SEC22A	turquoise
NAA50	paleturquoise
CD80	brown
TMEM39B	plum1
POLR3GL	blue
TNFSF10	darkmagenta
PDS5A	pink
CPXM2	yellow
CXCR4	green
ACVR2A	plum1
MTIF3	turquoise
GTF3A	brown
KIAA1191	blue
HS3ST2	magenta
RBBP6	turquoise
LDB3	cyan
LRRC39	tan
ZNF644	darkmagenta
PMS2	paleturquoise
EEPD1	blue
KLHL7	brown
CBX3	magenta
INHBA	brown
FKBP9	turquoise
CCZ1	yellow
MRM2	turquoise
RECK	floralwhite
DNAI1	turquoise
KIAA1549	salmon
C7orf49	turquoise
CALD1	yellow
SFTPA1	red
PLAU	blue
BICC1	yellow
ECD	blue
RBM19	turquoise
ACADS	brown
HVCN1	turquoise
DDX54	blue
BHLHE41	brown
SSPN	lightcyan
WWP1	lightyellow
ACOT9	blue
PRDX4	brown
DDX39A	blue
PKN1	turquoise
ADGRE5	green
EBPL	turquoise
ZC3H13	blue
NLN	turquoise
OPTN	blue
ARHGAP9	blue
NCKAP1L	blue
MMP19	blue
LRP1	yellow
ATG101	grey
SMUG1	turquoise
FAM199X	black
RAB9A	lightcyan
NMI	grey
TNFAIP6	blue
SLC36A1	blue
BATF3	darkturquoise
G0S2	blue
RAP2C	blue
EXOSC9	mediumpurple3
PLA2G12A	turquoise
C4BPA	red
RAB38	grey
DAW1	turquoise
ACSL3	orangered4
FAM210B	turquoise
PREX1	blue
NCOA5	blue
CHD6	turquoise
PLCG1	ivory
TOX2	white
ZNF831	green
PTGIS	yellow
PMEPA1	grey
RNF114	brown
DDX27	darkgrey
BCAS4	royalblue
PEPD	yellowgreen
VAMP7	brown
XG	blue
MCEE	turquoise
MPHOSPH10	brown
F13A1	blue
BTN2A2	blue
MRS2	turquoise
WRNIP1	yellowgreen
RRP36	brown
ABCC10	darkgrey
HIST1H1D	blue
PEX6	turquoise
OARD1	turquoise
DNAH8	magenta
MEA1	brown
COL21A1	turquoise
RIOK1	turquoise
SLC35B3	grey
RUNX2	turquoise
EREG	blue
MYRF	lightgreen
SH3TC1	magenta
BBS2	turquoise
MT1G	mediumpurple3
MT2A	mediumpurple3
